"","mean","total","tech","bio","p.value","FDR"
"Bend5",0.724330529981293,0.675551155259609,0.539523404204656,0.136027751054953,0.248889618546223,0.645131470210005
"Trbc1",0.6587803075255,0.643615794026246,0.507777511895992,0.135838282130254,0.23595585622152,0.645131470210005
"Abcg2",0.801507366183924,0.709840162697253,0.574040486402489,0.135799676294764,0.262338602494612,0.645131470210005
"Sh2b2",0.541223562596611,0.580167020047036,0.444546480374053,0.135620539672983,0.206000794751596,0.645131470210005
"Mfsd2b",0.750503206794285,0.686660615035246,0.551561448720366,0.135099166314881,0.255055932702491,0.645131470210005
"Dtx1",0.706201419320733,0.665911118916899,0.530976428374985,0.134934690541914,0.247187873067782,0.645131470210005
"Erp44",1.13108510527311,0.824857713176546,0.689948197866017,0.134909515310529,0.299509229765989,0.645131470210005
"Rasa3",1.20899190014418,0.842678762860682,0.708236172332148,0.134442590528534,0.304863835329165,0.645131470210005
"Trim12a",0.99434259440793,0.782605195755763,0.648528211642744,0.134076984113019,0.289124938487085,0.645131470210005
"Psmb10",1.38265743476311,0.872924475637801,0.73930686235939,0.13361761327841,0.313480589068318,0.645131470210005
"Cd53",1.0224083507237,0.791444737796641,0.658070674057336,0.133374063739305,0.292873657100154,0.645131470210005
"Ly6e",2.229418796944,0.872356822554388,0.73943795120707,0.132918871347318,0.314412548722772,0.645131470210005
"Hdgf",2.56601384289082,0.827817315001576,0.695022879240264,0.132794435761312,0.303699421267969,0.645131470210005
"Srpk3",0.625192550209293,0.62333129919756,0.490575402873701,0.132755896323859,0.233398359123569,0.645131470210005
"Ttpal",1.03449189233699,0.79479289926627,0.662060933868096,0.132731965398174,0.294903328725431,0.645131470210005
"Clec2i",0.904566759621309,0.748238551617383,0.615802269528913,0.13243628208847,0.281523001260247,0.645131470210005
"Jakmip1",0.765464814550831,0.690511963749699,0.55828715491511,0.132224808834588,0.262100290107499,0.645131470210005
"S100a8",0.212708992607287,0.344090217006223,0.212406986554329,0.131683230451895,0.0477454041342174,0.645131470210005
"Plek",0.840744699879459,0.721500271866236,0.590495264852294,0.131005007013942,0.275390414427695,0.645131470210005
"H2-M3",1.26170962917417,0.849943244088601,0.719165103463852,0.130778140624749,0.312419837220775,0.645131470210005
"Gga2",0.820014141959841,0.712405458795,0.58188962029548,0.130515838499519,0.273203474587537,0.645131470210005
"Iglc2",0.749932317650504,0.681791755017666,0.55130257406951,0.130489180948156,0.262229625734553,0.645131470210005
"Fam220a",0.38191349795979,0.356711060417053,0.343636012752325,0.0130750476647279,0.459252376285154,0.645131470210005
"Rel",0.654675848074768,0.635605281666741,0.505710488208662,0.129894793458079,0.244874460368234,0.645131470210005
"Foxo3",1.11164643344242,0.814592189790259,0.685011210745947,0.129580979044312,0.305486728536803,0.645131470210005
"Psat1",0.798091393475822,0.701824238399208,0.57257404651351,0.129250191885699,0.271918179191327,0.645131470210005
"Ly86",0.757019904677645,0.683281745667179,0.554505053419576,0.128776692247603,0.266147672455082,0.645131470210005
"Emb",0.739275314725288,0.674737492153794,0.546440302016392,0.128297190137402,0.263901535575202,0.645131470210005
"Sox6",0.6389627464088,0.625829030197261,0.497707351929701,0.128121678267561,0.244394954911281,0.645131470210005
"Arl4c",0.670601986977697,0.641742875232665,0.51367798735387,0.128064887878795,0.251296519979805,0.645131470210005
"Fcer2a",0.5766143717516,0.592550874486311,0.464493288529624,0.128057585956687,0.229236787900552,0.645131470210005
"Rubcn",0.696588161928747,0.654418749890406,0.526373271093039,0.128045478797367,0.25650859550404,0.645131470210005
