EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
99167,Ssx2ip,3696,-1.35862344284837,1.00369360843779,-4.06746942767538,0.00142486747290493,0.109183902677807,-1.09540168039491
14991,H2-M3,1425,0.746825604346373,6.07877366534799,4.06421842362785,0.00143341923234685,0.109183902677807,-1.36646970297552
353310,Zfp703,3305,-1.13213726747826,1.72825163404925,-4.05619204600483,0.00145475965623899,0.109183902677807,-1.07408370349168
67171,Dram2,2197,0.762410803601284,4.71538917736999,4.05595761347458,0.00145538785616897,0.109183902677807,-1.37649305867157
70546,Zdhhc2,2498,-0.89382121613931,0.702303094613111,-4.05296393657715,0.00146343449669608,0.109183902677807,-1.26722221472646
19739,Rgs9,8531,0.961126455227582,-1.80859385977443,4.05009431057323,0.00147119069927097,0.109183902677807,-1.18318229568707
209361,Taf3,4805,-0.677588763940166,2.47308723284825,-4.0497449423622,0.00147213787860646,0.109183902677807,-1.23176948437084
234396,Ankle1,2134,1.26082547259768,1.24912166586308,4.0439227066079,0.00148801538869074,0.109183902677807,-1.26852880894269
18754,Prkce,6254,-0.975656236990672,2.7381395581211,-4.04152600121797,0.00149460243111605,0.109183902677807,-1.22519950691007
243529,H1fx,1062,-0.786623483439933,2.50794238740727,-4.04111353944802,0.00149573905356649,0.109183902677807,-1.41369216941226
12952,Cry1,3016,-0.835467456787266,2.48125004423886,-4.03913194379509,0.00150121216092231,0.109183902677807,-1.08088421728174
11461,Actb,1889,-0.567496252767198,11.2590793432469,-4.03727536095821,0.00150635868855393,0.109183902677807,-1.5065118343132
434484,Sp140,2417,0.742446162254065,5.78400610434053,4.03527727163002,0.00151191776811284,0.109183902677807,-1.45024385045574
57370,B4galt3,1998,0.664465783393996,4.13880207747387,4.0329909315902,0.00151830472562353,0.109183902677807,-1.30297048979797
67664,Rnf125,1334,-1.13114517175336,0.239047371173037,-4.03199033285301,0.00152110865542757,0.109183902677807,-0.948686812950657
16992,Lta,1383,0.746870338067402,5.68663038645209,4.0294918367426,0.00152813335833769,0.109183902677807,-1.44729259701384
319200,Gpr82,2497,3.33161629276455,-3.0253721657128,4.02550772252235,0.00153940411252277,0.109327700254102,-1.21533352646975
74360,Cep57,2843,0.815035986144025,4.93182354093937,4.02003772636521,0.00155501779609145,0.109327700254102,-1.47169328445957
101883,Igflr1,1186,1.12517469712213,2.87578046041457,4.01684147884023,0.00156421656030319,0.109327700254102,-1.04078858423514
13844,Ephb2,4780,-3.90346447723067,-5.46967078357527,-4.01119775857484,0.00158059604113598,0.109327700254102,-1.34965579270559
12748,Clk2,2310,0.805558337541214,5.04103393993085,4.00807061927047,0.00158974763116157,0.109327700254102,-1.47178211613867
66771,Gid4,4400,-0.753284434070042,3.06849426879856,-4.00785701901838,0.00159037471834616,0.109327700254102,-1.35135316103628
74775,Lmbr1l,2167,0.709014805361114,4.82489172339863,4.00548881529113,0.00159734435588319,0.109327700254102,-1.4447496915731
