symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Slc16a1,3,0.5787896578860581,7.4069063607104075,4.802678990434921,7.913477341013986e-5,0.008051021113845896,1.4008146584324894,FALSE
Slamf7,1,-1.1941236554016332,4.511218442662791,-4.711666828041422,9.908156385941034e-5,0.009514056682500233,1.3943518730469915,FALSE
Selenok,14,-0.59529513712409,7.007929839376737,-4.77377030290014,8.49889688005717e-5,0.008445531713600997,1.37569987893235,FALSE
Cd79b,11,-0.6019153954792973,7.052367685155589,-4.75397484920421,8.924720181757236e-5,0.008667120303783788,1.3226325350118602,FALSE
Selenos,7,-0.8792628609256994,5.431630435293951,-4.6597932524886705,1.1263895282108138e-4,0.010240558412861292,1.2863341327406177,FALSE
Tfrc,16,0.4283797317603657,8.841122706516607,4.766116552481511,8.661059529039715e-5,0.008507748820134874,1.1147110358723875,FALSE
Hspb1,5,-1.2564660385809794,4.497455047087652,-4.515030796015564,1.6116294584313844e-4,0.014198953970881044,0.9615470002681654,FALSE
Gapdh,6,-0.4328527826856323,8.809520499222167,-4.663930654083724,1.1149236329512031e-4,0.010240558412861292,0.8566471877301121,FALSE
Cd19,7,-0.839720269653708,5.682041502153186,-4.479650868927165,1.759181600607186e-4,0.015340781590601031,0.8442804106306312,FALSE
S100a8,3,0.24274797938257642,11.423506090234657,4.8478781961389235,7.078399454979905e-5,0.007561500217782283,0.8094520171456647,FALSE
Eif1,11,-0.332511543820333,9.729282858113178,-4.696803086034576,1.0278938166284623e-4,0.009653165447150372,0.7650557310996708,FALSE
Rpl37a,1,0.30926182394830093,10.157310847905517,4.7010892942281925,1.0170608638714079e-4,0.009653165447150372,0.6978534807117303,FALSE
Cox11,11,-1.0455514420869214,4.664054041683432,-4.3818846098282895,2.2411030645390627e-4,0.018938311717885566,0.674735156994724,FALSE
Sub1,15,-0.5054231915799381,7.708662542221656,-4.517395011547165,1.602223447485684e-4,0.014198953970881044,0.668852615665867,FALSE
Prr5,15,-1.5377906706188105,3.834794588545339,-4.41949881661028,2.0417602140012877e-4,0.01762513413015657,0.592885619374802,FALSE
Bcl2a1b,9,-0.913723003457835,5.068278182540143,-4.31386428718868,2.6522769854448765e-4,0.02179457607462684,0.514681568279884,FALSE
Spcs2,7,-0.54989759313648,6.963195673933874,-4.387748461002557,2.2087918285380114e-4,0.018876334966685844,0.4521747198715289,FALSE
Rps8,4,-0.2674827451025674,10.796094155578382,-4.623220785108353,1.233033939861046e-4,0.011092113736897368,0.36443209693433953,FALSE
Slc15a2,16,-3.472383807534192,2.975419127869381,-5.184981150834249,3.091363709909559e-5,0.004127936603888608,0.30714310402953515,FALSE
Fam214a,9,-0.8933800910435705,5.121098403277041,-4.222497292625204,3.3254719749720776e-4,0.026314336572325348,0.3017001911877717,FALSE
Myh11,16,-1.1748481835737068,4.362426136372689,-4.217989547838533,3.362778699662692e-4,0.02636541905258474,0.2994073761021516,FALSE
Rpn2,2,-0.4939464955966688,7.408608172405275,-4.3433482142914634,2.465527066162589e-4,0.020456693502354843,0.28728073123689857,FALSE
Prrc1,18,-1.1583301719556602,4.390986576784892,-4.195342317922126,3.556616387061304e-4,0.027291309639463017,0.25157691397549087,FALSE
1500011B03Rik,5,-0.8948888835757183,4.991215642949809,-4.18095143630954,3.685531030888241e-4,0.027549768804484395,0.21685432869338683,FALSE
C1qtnf12,4,0.5174030063455639,7.207075834416922,4.289107647708102,2.8199490308767597e-4,0.02273517397912527,0.19194977946515657,FALSE
Selenow,7,-0.5333895964844197,7.662021712148118,-4.307882225468555,2.6918572317461364e-4,0.021909154192859506,0.16870167081483967,FALSE
Eno1,4,-0.7401654694587707,5.778667378478687,-4.193069321978515,3.5766752628362485e-4,0.027291309639463017,0.16014175028303512,FALSE
St3gal6,16,0.7334507485167627,5.861061678961592,4.179399636167273,3.699707187182665e-4,0.027549768804484395,0.14555157503739835,FALSE
Rbbp4,4,0.5145548754304556,7.184028867725619,4.253266589126555,3.081608493490012e-4,0.024612547836790323,0.10968464958857105,FALSE
Smarce1,11,-0.6527492726411745,5.984562412241226,-4.143726261022644,4.040989194587058e-4,0.029770942807707756,0.015205132914392294,FALSE
Rpn1,6,-0.5502863850523401,6.979502484823526,-4.194193646114124,3.566739211837108e-4,0.027291309639463017,-0.014483656173008619,FALSE
Foxo3,10,0.564907678282343,6.980337496122564,4.178575405217049,3.70725884918758e-4,0.027549768804484395,-0.032805841514556455,FALSE
Anxa6,11,-0.6300905156555636,6.124419941600541,-4.124600227521427,4.2366853154456215e-4,0.03068365483542227,-0.0503120486541917,FALSE
Ppia,11,-0.2963221219938106,9.935052029916916,-4.37842905653735,2.2603648434639924e-4,0.018938311717885566,-0.05805881438246363,FALSE
Abhd12,2,-0.7508815851965824,5.4416702692770045,-4.078174410324284,4.751802970164328e-4,0.032749119502438986,-0.06202037293172591,FALSE
Tram2,1,-1.3789023805159348,3.8904961010191896,-4.090601018939526,4.6081152630965443e-4,0.03201703499058786,-0.06686731341568652,FALSE
Socs4,14,1.0928710297413424,4.6762591359957995,4.038910305727714,5.235709693687036e-4,0.03441875003249954,-0.08811813526005974,FALSE
Nfia,4,1.2595414676933294,4.308741407317666,4.0426520733048115,5.187559735541802e-4,0.034366577906930415,-0.10854233789787227,FALSE
Creb3l2,6,-0.993112212670777,4.608135745731513,-4.017547702263003,5.519228182487095e-4,0.03573282124813236,-0.13590737992783453,FALSE
Mndal,1,-0.6341995028006684,6.055293517851285,-4.060918659679024,4.958740731533921e-4,0.033901918633351104,-0.1894448348393496,FALSE
Krtcap2,3,-0.5700748222031393,6.689577869497733,-4.102419392087882,0.00044754699992272464,0.03178320954214591,-0.19250189083145752,FALSE
Iscu,5,-0.5040218879453846,7.071259716965706,-4.100200616130851,4.500079984319746e-4,0.03178320954214591,-0.2522861409019743,FALSE
Nacad,11,3.485820028703234,3.999952172291313,4.660898411394243,1.1233152813802247e-4,0.010240558412861292,-0.27671007610751985,FALSE
Plcg2,8,-0.6772766742888976,5.741219684542586,-4.000459956292622,5.756936687797521e-4,0.03666098565505546,-0.28545271771894676,FALSE
