symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Sap18,14,-0.5107251019203858,5.410213024825177,-5.549283159450719,4.5395882605805175e-5,0.006461974055266188,1.8024542724519517
Rnps1,17,-0.5028200186310574,6.767241824553799,-5.547194143349903,4.558012827451425e-5,0.006461974055266188,1.7634832553609066
Hsp90b1,10,-0.6411858003687492,8.568395296036424,-5.430405485378346,5.7214686479256e-5,0.007407127860033768,1.7352639952681956
Rbmxl1,8,-0.5029531501952897,5.962447620830218,-5.51962969294958,4.808498499306493e-5,0.0066720474389845305,1.7088721966041502
Dtx1,5,0.4968870350936676,5.561786955970277,5.5015266259779105,4.980714813698228e-5,0.006767027428652708,1.694304820348579
Srp54a,12,-0.6976201952478185,4.025129802863824,-5.374712948657857,6.380517887167747e-5,0.007925818552602755,1.6852877261953259
Lsm14b,2,0.6505408351473796,4.177874391570408,5.352822347614762,6.660600033644273e-5,0.008146886131499194,1.61051652557925
Pcp4,16,-1.8391197385684737,1.2999145005783523,-5.219520572867026,8.663359737156375e-5,0.009999663809887663,1.600919181835688
Fam214a,9,-0.5425576691637577,4.803884970808896,-5.399969281742467,6.072429476698169e-5,0.007764970359271982,1.5962998069274583
Serpina3n,12,0.889676670425418,3.1365605390094475,5.221439480157848,8.630502061530424e-5,0.009999663809887663,1.5479602830606298
Pet100,8,0.4918292606578252,6.365730329488772,5.439982480296458,5.615425059545872e-5,0.0073981807122885665,1.5383692303765812
Dnajb3,1,-0.7576222970548638,3.5788667533542897,-5.252043909263736,8.123482209104247e-5,0.009648365861537408,1.531147023600007
Nuggc,14,-1.2333173680909673,2.2861130417842004,-5.137879626341566,1.0187746532215886e-4,0.010809696129017126,1.5005985329166034
Snrpd1,18,-0.5339551671353187,7.601624542835365,-5.351081825760185,6.683407314808049e-5,0.008146886131499194,1.4554585011950278
Rgcc,14,-0.5632916751349697,6.520275321791648,-5.3910957141254405,6.178883486246216e-5,0.00782438614670965,1.4454576016610616
Ypel3,7,-0.5539407806109775,7.832137633248033,-5.242577625646301,8.276941390677443e-5,0.009725778969243775,1.2679660860806248
Sec24d,3,-0.660035009729369,4.026759434346715,-5.155879755344508,9.829428115781246e-5,0.010809696129017126,1.249996259919775
Klf11,12,-0.7086346972806483,3.863596830553611,-5.137575384858257,1.0193917226628125e-4,0.010809696129017126,1.2460762268029235
Gm12999,4,-0.6538238380046701,3.771666443451073,-5.127303238805826,1.0404534614122381e-4,0.010944060078386953,1.241660159875349
Gp9,6,-0.6252022328547295,3.9766196146191346,-5.142516127326757,1.0094182669154471e-4,0.010809696129017126,1.2315772610103553
Madcam1,10,0.7646493142337665,3.518073723017606,5.093282631506729,1.1134650705181751e-4,0.011422040270675027,1.2244037725484507
Stoml1,9,-0.5451823318244857,4.77402149843417,-5.2110883285857845,8.80928191819483e-5,0.010078900356053962,1.223937619494734
Pla2g2d,4,0.4913739014663072,6.230023703434525,5.251197270033526,8.137086903082994e-5,0.009648365861537408,1.1628161983351912
Pecr,1,-0.9198796987891842,2.6938196648355435,-4.977658319111105,1.4035235016775823e-4,0.013082387601616199,1.140646806145634
Ifngr2,16,0.5184568956554463,4.798483859251197,5.154370722808285,9.858962640625865e-5,0.010809696129017126,1.1045383284572345
Midn,10,0.5675271526094168,4.776341525971962,5.14905246975181,9.963781539327105e-5,0.010809696129017126,1.0979864510472686
Dctn6,8,-0.4453425059911176,5.6567462279072185,-5.183044159722714,9.313084776645042e-5,0.010562657803633156,1.0489495984730857
Nhlrc4,17,-1.3553781153757267,1.5774691521735666,-4.881738019297496,1.7026703297190726e-4,0.014805286073683909,1.0344140071464656
St6gal1,16,-0.5404553196785278,5.24688492820067,-5.14569293377436,1.0030586652180873e-4,0.010809696129017126,1.0202757351867184
Lpcat2,8,0.5698948860096977,4.207160600940856,5.04128975810286,1.235391533986996e-4,0.01211519682540781,0.9817080646314231
Ackr2,9,-1.0618651243129666,2.176403238607267,-4.861189303557513,1.774860017579265e-4,0.015032142343692437,0.9772169160189037
Fgfbp3,19,-1.4437508909858474,1.3379292849327198,-4.835199502608977,1.870687702313965e-4,0.01574153529114906,0.9336735291088107
Ino80c,18,-0.5140571107589036,4.686112993889605,-5.0584048369579975,1.19380713832406e-4,0.011954352227394842,0.9313988376910913
Ptafr,4,0.7126709287556379,3.3290984332485243,4.927580982342651,1.5522853517526422e-4,0.013963074374420492,0.9294300751069873
Gdf3,6,0.8859592987443552,2.8119262178757825,4.874453928517752,1.7279086858584073e-4,0.014827048019507374,0.9186348575367838
Sirpb1a,3,-3.384500938857313,-0.5389166044195152,-5.429125610836028,5.735796318817837e-5,0.007407127860033768,0.9056428308459346
Edem2,2,-0.5778124996608867,5.9039660996502095,-5.112934058085128,1.0706703206408053e-4,0.011171802393694417,0.8962652512568079
Nectin1,9,0.9256697766807718,2.472908494682658,4.820351848519827,1.927800498751165e-4,0.01591411512988066,0.8609358695855729
Cnpy2,10,-0.453468297224056,5.795082518571656,-5.092376882955284,1.1154794602638084e-4,0.011422040270675027,0.8588659155676606
Srp9,1,-0.4536053929297905,6.936600534392655,-5.089937212682752,1.1209239857750544e-4,0.011422040270675027,0.8577093762232249
Bet1,6,-0.5783716373142553,4.611998573045964,-5.012503740445384,1.3087257036647394e-4,0.012644229150295701,0.8515831722272571
Ftl1-ps1,13,0.5165132863079895,6.039610280268474,5.083303874183832,1.1358661256164673e-4,0.011484575097996576,0.8296729107407756
2610507I01Rik,11,-3.345379746768232,-1.347081793617084,-5.480406328162214,5.1897222381404525e-5,0.006907096648169992,0.8201950550944179
Rcbtb2,14,-0.568554258085431,4.573525204984258,-4.989001181326242,1.3719134240410932e-4,0.012966570137513027,0.8106180171920672
Nags,11,-1.7472122430450743,0.7395108390131985,-4.821851627257244,1.92195111007202e-4,0.01591411512988066,0.8032035921556897
Coq7,7,-0.5698964565195137,4.330358600686629,-4.958413228022847,1.4588791928243482e-4,0.01332447342217199,0.7933489820941331
Hnrnpa0,13,0.431151193833867,6.91302471127249,5.055542769795637,1.20065946621845e-4,0.011954352227394842,0.7846656183450307
